keys,en
REACTION_DEX_HIGH_WIS_LOW_3,"Dexterous, yet unaware."
REACTION_DEX_HIGH_WIS_LOW_4,"Graceful, but not wise."
REACTION_DEX_HIGH_WIS_LOW_5,"Lithe, yet lacking perception."
REACTION_WIS_HIGH_DEX_LOW_1,"Perceptive, yet clumsy."
REACTION_WIS_HIGH_DEX_LOW_2,"Insightful, but uncoordinated."
REACTION_WIS_HIGH_DEX_LOW_3,"Wise, yet awkward."
REACTION_WIS_HIGH_DEX_LOW_4,"Observant, stumbling."
REACTION_WIS_HIGH_DEX_LOW_5,"Intuitive, yet graceless."
REACTION_DEX_HIGH_CHA_LOW_1,"Agile, but uncharismatic."
REACTION_DEX_HIGH_CHA_LOW_2,"Nimble, yet lacking charm."
REACTION_DEX_HIGH_CHA_LOW_3,"Dexterous, but socially awkward."
REACTION_DEX_HIGH_CHA_LOW_4,"Graceful, yet charmless."
REACTION_DEX_HIGH_CHA_LOW_5,"Lithe, but not captivating."
REACTION_CHA_HIGH_DEX_LOW_1,"Charismatic, yet clumsy."
REACTION_CHA_HIGH_DEX_LOW_2,"Alluring, but uncoordinated."
REACTION_CHA_HIGH_DEX_LOW_3,"Charming, yet awkward."
REACTION_CHA_HIGH_DEX_LOW_4,"Persuasive, stumbling."
REACTION_CHA_HIGH_DEX_LOW_5,"Enchanting, yet graceless."
REACTION_DEX_LOW_CON_LOW_1,Clumsy and vulnerable.
REACTION_DEX_LOW_CON_LOW_2,Awkward and frail.
REACTION_DEX_LOW_CON_LOW_3,"Inept, susceptible."
REACTION_DEX_LOW_CON_LOW_4,"Graceless, delicate."
REACTION_DEX_LOW_CON_LOW_5,Uncoordinated and easily hurt.
REACTION_CON_LOW_DEX_LOW_1,"Vulnerable, yet clumsy."
REACTION_CON_LOW_DEX_LOW_2,"Fragile, and awkward."
REACTION_CON_LOW_DEX_LOW_3,"Susceptible, yet inept."
REACTION_CON_LOW_DEX_LOW_4,"Delicate, stumbling."
REACTION_CON_LOW_DEX_LOW_5,"Frail, yet graceless."
REACTION_DEX_LOW_INT_LOW_1,Clumsy and dim-witted.
REACTION_DEX_LOW_INT_LOW_2,Awkward and intellectually challenged.
REACTION_DEX_LOW_INT_LOW_3,"Inept, but lacking intellect."
REACTION_DEX_LOW_INT_LOW_4,"Graceless, yet mentally feeble."
REACTION_DEX_LOW_INT_LOW_5,Uncoordinated and simple-minded.
REACTION_INT_LOW_DEX_LOW_1,Unintelligent and clumsy.
REACTION_INT_LOW_DEX_LOW_2,Dull-witted and uncoordinated.
REACTION_INT_LOW_DEX_LOW_3,"Dim, yet awkward."
REACTION_INT_LOW_DEX_LOW_4,"Intellectually challenged, stumbling."
REACTION_INT_LOW_DEX_LOW_5,Simple-minded and graceless.
REACTION_DEX_LOW_WIS_LOW_1,Clumsy and unaware.
REACTION_DEX_LOW_WIS_LOW_2,Awkward and lacking insight.
REACTION_DEX_LOW_WIS_LOW_3,"Inept, yet oblivious."
REACTION_DEX_LOW_WIS_LOW_4,"Graceless, but not wise."
REACTION_DEX_LOW_WIS_LOW_5,Uncoordinated and lacking perception.
REACTION_WIS_LOW_DEX_LOW_1,Unaware and clumsy.
REACTION_WIS_LOW_DEX_LOW_2,"Lacking insight, stumbling."
REACTION_WIS_LOW_DEX_LOW_3,"Oblivious, yet awkward."
REACTION_WIS_LOW_DEX_LOW_4,"Not wise, but graceless."
REACTION_WIS_LOW_DEX_LOW_5,Clueless and uncoordinated.
REACTION_DEX_LOW_CHA_LOW_1,Clumsy and uncharismatic.
REACTION_DEX_LOW_CHA_LOW_2,"Awkward, lacking charm."
REACTION_DEX_LOW_CHA_LOW_3,"Inept, socially unappealing."
REACTION_DEX_LOW_CHA_LOW_4,"Graceless, but not charming."
REACTION_DEX_LOW_CHA_LOW_5,Uncoordinated and charmless.
REACTION_CHA_LOW_DEX_LOW_1,"Uncharismatic, yet clumsy."
REACTION_CHA_LOW_DEX_LOW_2,"Charmless, and uncoordinated."
REACTION_CHA_LOW_DEX_LOW_3,"Socially awkward, stumbling."
REACTION_CHA_LOW_DEX_LOW_4,"Not captivating, graceless."
REACTION_CHA_LOW_DEX_LOW_5,"Lackluster charm, uncoordinated."
REACTION_CON_HIGH_INT_LOW_1,"Resilient, yet clueless."
REACTION_CON_HIGH_INT_LOW_2,"Tough, but lacking intellect."
REACTION_CON_HIGH_INT_LOW_3,"Durable, yet intellectually challenged."
REACTION_CON_HIGH_INT_LOW_4,"Stalwart, but mentally feeble."
REACTION_CON_HIGH_INT_LOW_5,"Hardy, yet lacking in wisdom."
REACTION_INT_HIGH_CON_LOW_1,"Intellectual, but physically weak."
REACTION_INT_HIGH_CON_LOW_2,"Clever, yet not sturdy."
REACTION_INT_HIGH_CON_LOW_3,"Wise, but lacking resilience."
REACTION_INT_HIGH_CON_LOW_4,"Smart, but easily overpowered."
REACTION_INT_HIGH_CON_LOW_5,"Sage-like, yet not robust."
REACTION_CON_HIGH_WIS_LOW_1,"Resilient, yet unaware."
REACTION_CON_HIGH_WIS_LOW_2,"Tough, but lacking perception."
REACTION_CON_HIGH_WIS_LOW_3,"Durable, yet oblivious."
REACTION_CON_HIGH_WIS_LOW_4,"Stalwart, but not wise."
REACTION_CON_HIGH_WIS_LOW_5,"Hardy, yet lacking insight."
REACTION_WIS_HIGH_CON_LOW_1,"Perceptive, but not sturdy."
REACTION_WIS_HIGH_CON_LOW_2,"Insightful, yet not resilient."
REACTION_WIS_HIGH_CON_LOW_3,"Wise, but lacking durability."
REACTION_WIS_HIGH_CON_LOW_4,"Observant, but easily overpowered."
REACTION_WIS_HIGH_CON_LOW_5,"Intuitive, yet not robust."
REACTION_CON_HIGH_CHA_LOW_1,"Resilient, yet uncharismatic."
REACTION_CON_HIGH_CHA_LOW_2,"Tough, but lacking charm."
REACTION_CON_HIGH_CHA_LOW_3,"Durable, yet socially awkward."
REACTION_CON_HIGH_CHA_LOW_4,"Stalwart, but charmless."
REACTION_CON_HIGH_CHA_LOW_5,"Hardy, yet unappealing."
REACTION_CHA_HIGH_CON_LOW_1,"Charismatic, but not sturdy."
REACTION_CHA_HIGH_CON_LOW_2,"Alluring, yet not resilient."
REACTION_CHA_HIGH_CON_LOW_3,"Charming, but lacking durability."
REACTION_CHA_HIGH_CON_LOW_4,"Persuasive, but easily overpowered."
REACTION_CHA_HIGH_CON_LOW_5,"Enchanting, yet not robust."
REACTION_CON_LOW_INT_LOW_1,"Vulnerable, intellectually weak."
REACTION_CON_LOW_INT_LOW_2,"Fragile, and mentally feeble."
REACTION_CON_LOW_INT_LOW_3,"Susceptible, lacking intellect."
REACTION_CON_LOW_INT_LOW_4,"Delicate, but intellectually challenged."
REACTION_CON_LOW_INT_LOW_5,"Frail, and simple-minded."
REACTION_INT_LOW_CON_LOW_1,"Unintelligent, yet vulnerable."
REACTION_INT_LOW_CON_LOW_2,"Dull-witted, and fragile."
REACTION_INT_LOW_CON_LOW_3,"Dim, and susceptible."
REACTION_INT_LOW_CON_LOW_4,"Intellectually challenged, delicate."
REACTION_INT_LOW_CON_LOW_5,"Simple-minded, and easily hurt."
REACTION_CON_LOW_WIS_LOW_1,Vulnerable and clueless.
REACTION_CON_LOW_WIS_LOW_2,"Fragile, with no insight."
REACTION_CON_LOW_WIS_LOW_3,"Susceptible, oblivious."
REACTION_CON_LOW_WIS_LOW_4,"Delicate, lacking wisdom."
REACTION_CON_LOW_WIS_LOW_5,Frail and without perception.
REACTION_WIS_LOW_CON_LOW_1,Unaware and vulnerable.
REACTION_WIS_LOW_CON_LOW_2,"Lacking insight, fragile."
REACTION_WIS_LOW_CON_LOW_3,Oblivious and susceptible.
REACTION_WIS_LOW_CON_LOW_4,"Not wise, delicate."
REACTION_WIS_LOW_CON_LOW_5,Clueless and easily hurt.
REACTION_CON_LOW_CHA_LOW_1,"Vulnerable, yet uncharismatic."
REACTION_CON_LOW_CHA_LOW_2,"Fragile, lacking charm."
REACTION_CON_LOW_CHA_LOW_3,"Susceptible, socially awkward."
REACTION_CON_LOW_CHA_LOW_4,"Delicate, but charmless."
REACTION_CON_LOW_CHA_LOW_5,"Frail, unappealing."
REACTION_CHA_LOW_CON_LOW_1,"Uncharismatic, yet vulnerable."
REACTION_CHA_LOW_CON_LOW_2,"Charmless, and fragile."
REACTION_CHA_LOW_CON_LOW_3,"Socially awkward, susceptible."
REACTION_CHA_LOW_CON_LOW_4,"Not captivating, delicate."
REACTION_CHA_LOW_CON_LOW_5,"Lackluster charm, easily hurt."
REACTION_INT_LOW_WIS_LOW_1,Unintelligent and clueless.
REACTION_INT_LOW_WIS_LOW_2,"Dull-witted, lacking insight."
REACTION_INT_LOW_WIS_LOW_3,"Dim, and oblivious."
REACTION_INT_LOW_WIS_LOW_4,"Intellectually challenged, not wise."
REACTION_INT_LOW_WIS_LOW_5,"Simple-minded, lacking perception."
REACTION_WIS_LOW_INT_LOW_1,Unaware and unintelligent.
REACTION_WIS_LOW_INT_LOW_2,"Lacking insight, mentally feeble."
REACTION_WIS_LOW_INT_LOW_3,"Oblivious, intellectually challenged."
REACTION_WIS_LOW_INT_LOW_4,"Not wise, but mentally feeble."
REACTION_WIS_LOW_INT_LOW_5,"Clueless, and simple-minded."
REACTION_INT_LOW_CHA_LOW_1,Unintelligent and uncharismatic.
REACTION_INT_LOW_CHA_LOW_2,"Dull-witted, lacking charm."
REACTION_INT_LOW_CHA_LOW_3,"Dim, socially awkward."
REACTION_INT_LOW_CHA_LOW_4,"Intellectually challenged, charmless."
REACTION_INT_LOW_CHA_LOW_5,"Simple-minded, unappealing."
REACTION_CHA_LOW_INT_LOW_1,"Awkward, yet intellectually weak."
REACTION_CHA_LOW_INT_LOW_2,"Uncharismatic, dull-witted."
REACTION_CHA_LOW_INT_LOW_3,"Socially challenged, dim."
REACTION_CHA_LOW_INT_LOW_4,"Not captivating, mentally feeble."
REACTION_CHA_LOW_INT_LOW_5,"Lackluster charm, simple-minded."
REACTION_WIS_LOW_CHA_LOW_1,Oblivious and charmless.
REACTION_WIS_LOW_CHA_LOW_2,Witless and unconvincing.
REACTION_WIS_LOW_CHA_LOW_3,Foolish and socially awkward.
REACTION_WIS_LOW_CHA_LOW_4,Unaware and unimpressive.
REACTION_WIS_LOW_CHA_LOW_5,Clueless and uncharismatic.
REACTION_CHA_LOW_WIS_LOW_1,"Awkward, yet insightful."
REACTION_CHA_LOW_WIS_LOW_2,"Uncharismatic, but perceptive."
REACTION_CHA_LOW_WIS_LOW_3,"Unappealing, yet clever."
REACTION_CHA_LOW_WIS_LOW_4,"Socially challenged, yet wise."
REACTION_CHA_LOW_WIS_LOW_5,"Lackluster charm, but astute."
REACTION_INT_HIGH_WIS_LOW_1,"Intellectual, yet oblivious."
REACTION_INT_HIGH_WIS_LOW_2,"Clever, but lacking insight."
REACTION_INT_HIGH_WIS_LOW_3,"Wise, but mentally feeble."
REACTION_INT_HIGH_WIS_LOW_4,"Smart, yet not perceptive."
REACTION_INT_HIGH_WIS_LOW_5,"Sage-like, but lacking wisdom."
REACTION_WIS_HIGH_INT_LOW_1,"Perceptive, but intellectually weak."
REACTION_WIS_HIGH_INT_LOW_2,"Insightful, yet mentally feeble."
REACTION_WIS_HIGH_INT_LOW_3,"Wise, but lacking intellect."
REACTION_WIS_HIGH_INT_LOW_4,"Observant, but not smart."
REACTION_WIS_HIGH_INT_LOW_5,"Intuitive, yet intellectually challenged."
REACTION_WIS_LOW_CHA_LOW_1,Unwise and charmless.
REACTION_WIS_LOW_CHA_LOW_2,Foolish and socially awkward.
REACTION_WIS_LOW_CHA_LOW_3,Thoughtless and uncharismatic.
REACTION_WIS_LOW_CHA_LOW_4,Imprudent and socially unappealing.
REACTION_WIS_LOW_CHA_LOW_5,Ignorant and lacking charm.
REACTION_CHA_LOW_WIS_LOW_1,"Awkward, yet perceptive."
REACTION_CHA_LOW_WIS_LOW_2,"Uncharismatic, but insightful."
REACTION_CHA_LOW_WIS_LOW_3,"Unappealing, yet clever."
REACTION_CHA_LOW_WIS_LOW_4,"Socially challenged, yet wise."
REACTION_CHA_LOW_WIS_LOW_5,"Lackluster charm, but astute."
REACTION_WIS_HIGH_CHA_LOW_1,"Insightful, yet uncharismatic."
REACTION_WIS_HIGH_CHA_LOW_2,"Perceptive, but lacking charm."
REACTION_WIS_HIGH_CHA_LOW_3,"Wise, but socially awkward."
REACTION_WIS_HIGH_CHA_LOW_4,"Observant, yet charmless."
REACTION_WIS_HIGH_CHA_LOW_5,"Intuitive, but not captivating."
REACTION_CHA_HIGH_WIS_LOW_1,"Charismatic, but not wise."
REACTION_CHA_HIGH_WIS_LOW_2,"Alluring, yet lacking insight."
REACTION_CHA_HIGH_WIS_LOW_3,"Charming, but not perceptive."
REACTION_CHA_HIGH_WIS_LOW_4,"Persuasive, yet not astute."
REACTION_CHA_HIGH_WIS_LOW_5,"Enchanting, but mentally feeble."
